total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-8.0
time                 rho_0                std                 
0.00000000          4000.00000000       0.00000000          
0.00003000          3999.99993606       0.01130840          
0.00006000          3999.99974424       0.02261841          
0.00009000          3999.99942452       0.03393047          
0.00012000          3999.99897689       0.04524663          
0.00015000          3999.99840133       0.05656762          
0.00018000          3999.99769779       0.06789484          
0.00021000          3999.99686623       0.07922966          
0.00024000          3999.99590661       0.09057307          
0.00027000          3999.99481888       0.10192657          
0.00030000          3999.99360295       0.11329133          
0.00033000          3999.99225878       0.12466852          
0.00036000          3999.99078626       0.13605945          
0.00039000          3999.98918533       0.14746543          
0.00042000          3999.98745588       0.15888757          
0.00045000          3999.98559781       0.17032722          
0.00048000          3999.98361102       0.18178560          
0.00051000          3999.98149538       0.19326395          
0.00054000          3999.97925077       0.20476353          
0.00057000          3999.97687706       0.21628558          
0.00060000          3999.97437410       0.22783139          
0.00063000          3999.97174176       0.23940212          
0.00066000          3999.96897988       0.25099904          
0.00069000          3999.96608829       0.26262345          
0.00072000          3999.96306682       0.27427656          
0.00075000          3999.95991529       0.28595964          
0.00078000          3999.95663353       0.29767390          
0.00081000          3999.95322133       0.30942062          
0.00084000          3999.94967850       0.32120101          
0.00087000          3999.94600482       0.33301634          
0.00090000          3999.94220008       0.34486788          
0.00093000          3999.93826406       0.35675680          
0.00096000          3999.93419652       0.36868441          
0.00099000          3999.92999722       0.38065198          
0.00102000          3999.92566592       0.39266068          
0.00105000          3999.92120237       0.40471178          
0.00108000          3999.91660629       0.41680653          
0.00111000          3999.91187741       0.42894619          
0.00114000          3999.90701547       0.44113201          
0.00117000          3999.90202017       0.45336519          
0.00120000          3999.89689121       0.46564702          
0.00123000          3999.89162830       0.47797869          
0.00126000          3999.88623113       0.49036151          
0.00129000          3999.88069938       0.50279668          
0.00132000          3999.87503271       0.51528548          
0.00135000          3999.86923081       0.52782913          
0.00138000          3999.86329332       0.54042887          
0.00141000          3999.85721989       0.55308597          
0.00144000          3999.85101018       0.56580164          
0.00147000          3999.84466381       0.57857716          
0.00150000          3999.83818040       0.59141374          
0.00153000          3999.83155958       0.60431266          
0.00156000          3999.82480096       0.61727515          
0.00159000          3999.81790414       0.63030245          
0.00162000          3999.81086871       0.64339584          
0.00165000          3999.80369426       0.65655652          
0.00168000          3999.79638036       0.66978576          
0.00171000          3999.78892659       0.68308481          
0.00174000          3999.78133250       0.69645492          
0.00177000          3999.77359765       0.70989735          
0.00180000          3999.76572159       0.72341332          
0.00183000          3999.75770384       0.73700412          
0.00186000          3999.74954393       0.75067095          
0.00189000          3999.74124139       0.76441510          
0.00192000          3999.73279573       0.77823782          
0.00195000          3999.72420645       0.79214035          
0.00198000          3999.71547304       0.80612395          
0.00201000          3999.70659499       0.82018988          
0.00204000          3999.69757177       0.83433939          
0.00207000          3999.68840286       0.84857375          
0.00210000          3999.67908771       0.86289421          
0.00213000          3999.66962578       0.87730202          
0.00216000          3999.66001650       0.89179846          
0.00219000          3999.65025932       0.90638478          
0.00222000          3999.64035366       0.92106226          
0.00225000          3999.63029893       0.93583215          
0.00228000          3999.62009454       0.95069573          
0.00231000          3999.60973989       0.96565426          
0.00234000          3999.59923438       0.98070901          
0.00237000          3999.58857737       0.99586126          
0.00240000          3999.57776825       1.01111228          
0.00243000          3999.56680638       1.02646335          
0.00246000          3999.55569112       1.04191574          
0.00249000          3999.54442180       1.05747074          
0.00252000          3999.53299777       1.07312963          
0.00255000          3999.52141835       1.08889369          
0.00258000          3999.50968286       1.10476421          
0.00261000          3999.49779061       1.12074248          
0.00264000          3999.48574090       1.13682980          
0.00267000          3999.47353301       1.15302746          
0.00270000          3999.46116624       1.16933675          
0.00273000          3999.44863986       1.18575897          
0.00276000          3999.43595312       1.20229544          
0.00279000          3999.42310527       1.21894745          
0.00282000          3999.41009557       1.23571632          
0.00285000          3999.39692325       1.25260334          
0.00288000          3999.38358752       1.26960986          
0.00291000          3999.37008762       1.28673716          
0.00294000          3999.35642273       1.30398660          
0.00297000          3999.34259206       1.32135947          
0.00300000          3999.32859480       1.33885712          
0.00303000          3999.31443011       1.35648088          
0.00306000          3999.30009717       1.37423209          
0.00309000          3999.28559513       1.39211207          
0.00312000          3999.27092313       1.41012219          
0.00315000          3999.25608033       1.42826379          
0.00318000          3999.24106583       1.44653821          
0.00321000          3999.22587876       1.46494682          
0.00324000          3999.21051822       1.48349098          
0.00327000          3999.19498332       1.50217205          
0.00330000          3999.17927313       1.52099141          
0.00333000          3999.16338672       1.53995042          
0.00336000          3999.14732318       1.55905047          
0.00339000          3999.13108155       1.57829294          
0.00342000          3999.11466087       1.59767922          
0.00345000          3999.09806018       1.61721071          
0.00348000          3999.08127850       1.63688880          
0.00351000          3999.06431485       1.65671490          
0.00354000          3999.04716822       1.67669041          
0.00357000          3999.02983761       1.69681676          
0.00360000          3999.01232201       1.71709537          
0.00363000          3998.99462036       1.73752766          
0.00366000          3998.97673165       1.75811507          
0.00369000          3998.95865481       1.77885903          
0.00372000          3998.94038878       1.79976099          
0.00375000          3998.92193249       1.82082240          
0.00378000          3998.90328485       1.84204472          
0.00381000          3998.88444476       1.86342941          
0.00384000          3998.86541112       1.88497794          
0.00387000          3998.84618280       1.90669178          
0.00390000          3998.82675868       1.92857243          
