total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-10.0
time                 rho_0                std                 
0.00000000          4000.00000000       0.00000000          
0.00003000          3999.99993606       0.01130856          
0.00006000          3999.99974424       0.02261845          
0.00009000          3999.99942452       0.03393066          
0.00012000          3999.99897688       0.04524688          
0.00015000          3999.99840129       0.05656828          
0.00018000          3999.99769770       0.06789610          
0.00021000          3999.99686608       0.07923156          
0.00024000          3999.99590635       0.09057605          
0.00027000          3999.99481846       0.10193081          
0.00030000          3999.99360232       0.11329704          
0.00033000          3999.99225785       0.12467614          
0.00036000          3999.99078495       0.13606936          
0.00039000          3999.98918351       0.14747795          
0.00042000          3999.98745344       0.15890326          
0.00045000          3999.98559459       0.17034647          
0.00048000          3999.98360685       0.18180898          
0.00051000          3999.98149006       0.19329202          
0.00054000          3999.97924408       0.20479688          
0.00057000          3999.97686876       0.21632486          
0.00060000          3999.97436392       0.22787724          
0.00063000          3999.97172938       0.23945534          
0.00066000          3999.96896496       0.25106038          
0.00069000          3999.96607046       0.26269367          
0.00072000          3999.96304568       0.27435651          
0.00075000          3999.95989040       0.28605020          
0.00078000          3999.95660440       0.29777601          
0.00081000          3999.95318744       0.30953524          
0.00084000          3999.94963930       0.32132919          
0.00087000          3999.94595970       0.33315915          
0.00090000          3999.94214839       0.34502637          
0.00093000          3999.93820511       0.35693221          
0.00096000          3999.93412957       0.36887790          
0.00099000          3999.92992149       0.38086480          
0.00102000          3999.92558056       0.39289416          
0.00105000          3999.92110648       0.40496728          
0.00108000          3999.91649892       0.41708546          
0.00111000          3999.91175758       0.42925002          
0.00114000          3999.90688210       0.44146224          
0.00117000          3999.90187215       0.45372344          
0.00120000          3999.89672736       0.46603490          
0.00123000          3999.89144738       0.47839794          
0.00126000          3999.88603183       0.49081386          
0.00129000          3999.88048033       0.50328397          
0.00132000          3999.87479248       0.51580956          
0.00135000          3999.86896787       0.52839195          
0.00138000          3999.86300611       0.54103244          
0.00141000          3999.85690676       0.55373236          
0.00144000          3999.85066939       0.56649302          
0.00147000          3999.84429357       0.57931573          
0.00150000          3999.83777883       0.59220181          
0.00153000          3999.83112473       0.60515258          
0.00156000          3999.82433078       0.61816936          
0.00159000          3999.81739650       0.63125346          
0.00162000          3999.81032141       0.64440621          
0.00165000          3999.80310500       0.65762894          
0.00168000          3999.79574676       0.67092298          
0.00171000          3999.78824618       0.68428966          
0.00174000          3999.78060271       0.69773030          
0.00177000          3999.77281582       0.71124625          
0.00180000          3999.76488496       0.72483885          
0.00183000          3999.75680956       0.73850941          
0.00186000          3999.74858906       0.75225931          
0.00189000          3999.74022286       0.76608987          
0.00192000          3999.73171039       0.78000245          
0.00195000          3999.72305103       0.79399839          
0.00198000          3999.71424417       0.80807905          
0.00201000          3999.70528918       0.82224579          
0.00204000          3999.69618545       0.83649996          
0.00207000          3999.68693231       0.85084292          
0.00210000          3999.67752911       0.86527605          
0.00213000          3999.66797519       0.87980068          
0.00216000          3999.65826988       0.89441823          
0.00219000          3999.64841247       0.90913005          
0.00222000          3999.63840229       0.92393751          
0.00225000          3999.62823861       0.93884201          
0.00228000          3999.61792071       0.95384494          
0.00231000          3999.60744788       0.96894766          
0.00234000          3999.59681936       0.98415159          
0.00237000          3999.58603440       0.99945812          
0.00240000          3999.57509224       1.01486865          
0.00243000          3999.56399211       1.03038458          
0.00246000          3999.55273321       1.04600731          
0.00249000          3999.54131475       1.06173828          
0.00252000          3999.52973593       1.07757890          
0.00255000          3999.51799592       1.09353059          
0.00258000          3999.50609389       1.10959477          
0.00261000          3999.49402900       1.12577287          
0.00264000          3999.48180039       1.14206634          
0.00267000          3999.46940721       1.15847663          
0.00270000          3999.45684856       1.17500516          
0.00273000          3999.44412357       1.19165340          
0.00276000          3999.43123133       1.20842281          
0.00279000          3999.41817093       1.22531484          
0.00282000          3999.40494145       1.24233098          
0.00285000          3999.39154194       1.25947267          
0.00288000          3999.37797146       1.27674143          
0.00291000          3999.36422905       1.29413872          
0.00294000          3999.35031374       1.31166603          
0.00297000          3999.33622454       1.32932487          
0.00300000          3999.32196046       1.34711674          
0.00303000          3999.30752048       1.36504315          
0.00306000          3999.29290359       1.38310562          
0.00309000          3999.27810874       1.40130566          
0.00312000          3999.26313489       1.41964482          
0.00315000          3999.24798099       1.43812462          
0.00318000          3999.23264596       1.45674661          
0.00321000          3999.21712871       1.47551235          
0.00324000          3999.20142815       1.49442338          
0.00327000          3999.18554316       1.51348128          
0.00330000          3999.16947263       1.53268762          
0.00333000          3999.15321541       1.55204397          
0.00336000          3999.13677036       1.57155193          
0.00339000          3999.12013630       1.59121309          
0.00342000          3999.10331207       1.61102906          
0.00345000          3999.08629648       1.63100145          
0.00348000          3999.06908831       1.65113187          
0.00351000          3999.05168636       1.67142196          
0.00354000          3999.03408939       1.69187334          
0.00357000          3999.01629616       1.71248768          
0.00360000          3998.99830540       1.73326662          
0.00363000          3998.98011586       1.75421183          
0.00366000          3998.96172623       1.77532497          
0.00369000          3998.94313522       1.79660774          
0.00372000          3998.92434151       1.81806181          
0.00375000          3998.90534378       1.83968889          
0.00378000          3998.88614068       1.86149069          
0.00381000          3998.86673085       1.88346893          
0.00384000          3998.84711293       1.90562533          
0.00387000          3998.82728551       1.92796165          
0.00390000          3998.80724721       1.95047961          
0.00393000          3998.78699661       1.97318100          
0.00396000          3998.76653226       1.99606757          
0.00399000          3998.74585273       2.01914111          
0.00402000          3998.72495656       2.04240340          
0.00405000          3998.70384226       2.06585625          
0.00408000          3998.68250835       2.08950147          
0.00411000          3998.66095331       2.11334089          
0.00414000          3998.63917562       2.13737634          
0.00417000          3998.61717375       2.16160967          
