total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-7.0
time                 rho_0                std                 
0.00000000          4000.00000000       0.00000000          
0.00003000          3999.99993606       0.01130848          
0.00006000          3999.99974424       0.02261824          
0.00009000          3999.99942453       0.03393028          
0.00012000          3999.99897690       0.04524636          
0.00015000          3999.99840135       0.05656710          
0.00018000          3999.99769783       0.06789414          
0.00021000          3999.99686631       0.07922848          
0.00024000          3999.99590675       0.09057148          
0.00027000          3999.99481910       0.10192429          
0.00030000          3999.99360330       0.11328824          
0.00033000          3999.99225928       0.12466444          
0.00036000          3999.99078697       0.13605419          
0.00039000          3999.98918630       0.14745869          
0.00042000          3999.98745719       0.15887921          
0.00045000          3999.98559954       0.17031693          
0.00048000          3999.98361325       0.18177312          
0.00051000          3999.98149822       0.19324898          
0.00054000          3999.97925435       0.20474569          
0.00057000          3999.97688150       0.21626457          
0.00060000          3999.97437956       0.22780678          
0.00063000          3999.97174840       0.23937360          
0.00066000          3999.96898787       0.25096620          
0.00069000          3999.96609783       0.26258587          
0.00072000          3999.96307814       0.27423377          
0.00075000          3999.95992863       0.28591116          
0.00078000          3999.95664913       0.29761925          
0.00081000          3999.95323948       0.30935924          
0.00084000          3999.94969949       0.32113239          
0.00087000          3999.94602898       0.33293990          
0.00090000          3999.94222776       0.34478299          
0.00093000          3999.93829562       0.35666293          
0.00096000          3999.93423236       0.36858085          
0.00099000          3999.93003777       0.38053802          
0.00102000          3999.92571163       0.39253566          
0.00105000          3999.92125370       0.40457497          
0.00108000          3999.91666376       0.41665717          
0.00111000          3999.91194156       0.42878351          
0.00114000          3999.90708685       0.44095516          
0.00117000          3999.90209939       0.45317335          
0.00120000          3999.89697891       0.46543931          
0.00123000          3999.89172513       0.47775421          
0.00126000          3999.88633779       0.49011932          
0.00129000          3999.88081660       0.50253580          
0.00132000          3999.87516126       0.51500489          
0.00135000          3999.86937150       0.52752779          
0.00138000          3999.86344699       0.54010573          
0.00141000          3999.85738742       0.55273990          
0.00144000          3999.85119249       0.56543150          
0.00147000          3999.84486187       0.57818175          
0.00150000          3999.83839521       0.59099185          
0.00153000          3999.83179219       0.60386303          
0.00156000          3999.82505245       0.61679648          
0.00159000          3999.81817564       0.62979340          
0.00162000          3999.81116141       0.64285502          
0.00165000          3999.80400937       0.65598253          
0.00168000          3999.79671916       0.66917712          
0.00171000          3999.78929040       0.68244001          
0.00174000          3999.78172268       0.69577241          
0.00177000          3999.77401563       0.70917551          
0.00180000          3999.76616882       0.72265051          
0.00183000          3999.75818185       0.73619864          
0.00186000          3999.75005431       0.74982109          
0.00189000          3999.74178575       0.76351904          
0.00192000          3999.73337575       0.77729373          
0.00195000          3999.72482387       0.79114634          
0.00198000          3999.71612966       0.80507808          
0.00201000          3999.70729266       0.81909014          
0.00204000          3999.69831240       0.83318374          
0.00207000          3999.68918842       0.84736008          
0.00210000          3999.67992024       0.86162036          
0.00213000          3999.67050737       0.87596578          
0.00216000          3999.66094931       0.89039754          
0.00219000          3999.65124556       0.90491686          
0.00222000          3999.64139562       0.91952493          
0.00225000          3999.63139897       0.93422297          
0.00228000          3999.62125507       0.94901216          
0.00231000          3999.61096341       0.96389374          
0.00234000          3999.60052344       0.97886888          
0.00237000          3999.58993460       0.99393881          
0.00240000          3999.57919636       1.00910473          
0.00243000          3999.56830813       1.02436785          
0.00246000          3999.55726935       1.03972939          
0.00249000          3999.54607944       1.05519055          
0.00252000          3999.53473782       1.07075253          
0.00255000          3999.52324388       1.08641656          
0.00258000          3999.51159702       1.10218386          
0.00261000          3999.49979664       1.11805562          
0.00264000          3999.48784211       1.13403308          
0.00267000          3999.47573281       1.15011743          
0.00270000          3999.46346809       1.16630991          
0.00273000          3999.45104733       1.18261175          
0.00276000          3999.43846985       1.19902415          
0.00279000          3999.42573501       1.21554835          
0.00282000          3999.41284213       1.23218555          
0.00285000          3999.39979055       1.24893701          
0.00288000          3999.38657957       1.26580394          
0.00291000          3999.37320849       1.28278757          
0.00294000          3999.35967663       1.29988915          
0.00297000          3999.34598326       1.31710990          
0.00300000          3999.33212768       1.33445106          
0.00303000          3999.31810914       1.35191386          
0.00306000          3999.30392693       1.36949957          
0.00309000          3999.28958028       1.38720941          
0.00312000          3999.27506846       1.40504464          
0.00315000          3999.26039070       1.42300651          
0.00318000          3999.24554622       1.44109626          
0.00321000          3999.23053425       1.45931516          
0.00324000          3999.21535400       1.47766447          
0.00327000          3999.20000468       1.49614544          
0.00330000          3999.18448548       1.51475934          
0.00333000          3999.16879559       1.53350744          
0.00336000          3999.15293418       1.55239100          
0.00339000          3999.13690041       1.57141132          
0.00342000          3999.12069346       1.59056965          
0.00345000          3999.10431246       1.60986729          
0.00348000          3999.08775657       1.62930551          
0.00351000          3999.07102491       1.64888562          
0.00354000          3999.05411660       1.66860890          
0.00357000          3999.03703075       1.68847664          
0.00360000          3999.01976648       1.70849015          
0.00363000          3999.00232287       1.72865074          
0.00366000          3998.98469901       1.74895971          
0.00369000          3998.96689398       1.76941838          
0.00372000          3998.94890684       1.79002806          
0.00375000          3998.93073665       1.81079008          
0.00378000          3998.91238245       1.83170577          
0.00381000          3998.89384328       1.85277646          
0.00384000          3998.87511818       1.87400348          
0.00387000          3998.85620616       1.89538817          
0.00390000          3998.83710622       1.91693189          
0.00393000          3998.81781737       1.93863598          
0.00396000          3998.79833859       1.96050181          
0.00399000          3998.77866887       1.98253072          
0.00402000          3998.75880716       2.00472410          
0.00405000          3998.73875244       2.02708332          
0.00408000          3998.71850365       2.04960974          
0.00411000          3998.69805972       2.07230477          
0.00414000          3998.67741960       2.09516979          
0.00417000          3998.65658218       2.11820619          
0.00420000          3998.63554639       2.14141538          
0.00423000          3998.61431111       2.16479878          
0.00426000          3998.59287524       2.18835778          
0.00429000          3998.57123766       2.21209381          
0.00432000          3998.54939722       2.23600830          
0.00435000          3998.52735278       2.26010269          
0.00438000          3998.50510320       2.28437842          
0.00441000          3998.48264729       2.30883693          
0.00444000          3998.45998389       2.33347967          
0.00447000          3998.43711181       2.35830812          
0.00450000          3998.41402985       2.38332373          
0.00453000          3998.39073680       2.40852799          
0.00456000          3998.36723144       2.43392237          
0.00459000          3998.34351254       2.45950836          
0.00462000          3998.31957885       2.48528748          
0.00465000          3998.29542913       2.51126120          
0.00468000          3998.27106210       2.53743107          
0.00471000          3998.24647649       2.56379858          
0.00474000          3998.22167101       2.59036528          
0.00477000          3998.19664437       2.61713269          
0.00480000          3998.17139524       2.64410237          
0.00483000          3998.14592232       2.67127587          
0.00486000          3998.12022426       2.69865474          
0.00489000          3998.09429973       2.72624055          
0.00492000          3998.06814735       2.75403489          
0.00495000          3998.04176577       2.78203935          
0.00498000          3998.01515360       2.81025551          
0.00501000          3997.98830944       2.83868498          
0.00504000          3997.96123190       2.86732938          
0.00507000          3997.93391955       2.89619032          
0.00510000          3997.90637097       2.92526944          
0.00513000          3997.87858471       2.95456839          
0.00516000          3997.85055932       2.98408880          
0.00519000          3997.82229332       3.01383234          
0.00522000          3997.79378525       3.04380068          
0.00525000          3997.76503361       3.07399550          
0.00528000          3997.73603689       3.10441849          
0.00531000          3997.70679358       3.13507134          
0.00534000          3997.67730214       3.16595577          
0.00537000          3997.64756103       3.19707349          
0.00540000          3997.61756871       3.22842623          
0.00543000          3997.58732358       3.26001573          
0.00546000          3997.55682409       3.29184375          
0.00549000          3997.52606862       3.32391204          
0.00552000          3997.49505557       3.35622237          
0.00555000          3997.46378332       3.38877654          
0.00558000          3997.43225023       3.42157632          
0.00561000          3997.40045465       3.45462352          
0.00564000          3997.36839492       3.48791996          
0.00567000          3997.33606936       3.52146746          
0.00570000          3997.30347628       3.55526787          
0.00573000          3997.27061397       3.58932303          
0.00576000          3997.23748073       3.62363480          
0.00579000          3997.20407481       3.65820506          
0.00582000          3997.17039447       3.69303569          
0.00585000          3997.13643795       3.72812858          
0.00588000          3997.10220346       3.76348564          
0.00591000          3997.06768923       3.79910880          
0.00594000          3997.03289345       3.83499999          
0.00597000          3996.99781430       3.87116114          
0.00600000          3996.96244994       3.90759423          
0.00603000          3996.92679853       3.94430121          
0.00606000          3996.89085820       3.98128408          
0.00609000          3996.85462708       4.01854482          
0.00612000          3996.81810327       4.05608545          
0.00615000          3996.78128486       4.09390799          
0.00618000          3996.74416993       4.13201447          
0.00621000          3996.70675654       4.17040694          
0.00624000          3996.66904274       4.20908747          
0.00627000          3996.63102655       4.24805812          
0.00630000          3996.59270599       4.28732098          
0.00633000          3996.55407906       4.32687817          
0.00636000          3996.51514374       4.36673179          
0.00639000          3996.47589799       4.40688397          
0.00642000          3996.43633978       4.44733687          
0.00645000          3996.39646702       4.48809263          
0.00648000          3996.35627764       4.52915344          
0.00651000          3996.31576954       4.57052147          
0.00654000          3996.27494061       4.61219893          
0.00657000          3996.23378871       4.65418805          
0.00660000          3996.19231170       4.69649104          
0.00663000          3996.15050741       4.73911016          
0.00666000          3996.10837366       4.78204767          
0.00669000          3996.06590824       4.82530584          
0.00672000          3996.02310895       4.86888697          
0.00675000          3995.97997355       4.91279337          
0.00678000          3995.93649979       4.95702736          
0.00681000          3995.89268540       5.00159128          
0.00684000          3995.84852809       5.04648748          
0.00687000          3995.80402557       5.09171833          
0.00690000          3995.75917550       5.13728623          
0.00693000          3995.71397556       5.18319357          
0.00696000          3995.66842337       5.22944278          
0.00699000          3995.62251658       5.27603629          
0.00702000          3995.57625277       5.32297655          
0.00705000          3995.52962955       5.37026604          
0.00708000          3995.48264448       5.41790723          
0.00711000          3995.43529510       5.46590265          
0.00714000          3995.38757896       5.51425479          
0.00717000          3995.33949356       5.56296621          
0.00720000          3995.29103640       5.61203945          
0.00723000          3995.24220495       5.66147710          
0.00726000          3995.19299667       5.71128173          
0.00729000          3995.14340899       5.76145596          
0.00732000          3995.09343932       5.81200242          
0.00735000          3995.04308508       5.86292375          
0.00738000          3994.99234363       5.91422261          
0.00741000          3994.94121232       5.96590168          
0.00744000          3994.88968850       6.01796366          
0.00747000          3994.83776948       6.07041128          
0.00750000          3994.78545256       6.12324726          
0.00753000          3994.73273502       6.17647436          
0.00756000          3994.67961410       6.23009536          
0.00759000          3994.62608704       6.28411305          
0.00762000          3994.57215106       6.33853024          
0.00765000          3994.51780335       6.39334977          
0.00768000          3994.46304108       6.44857449          
0.00771000          3994.40786139       6.50420726          
0.00774000          3994.35226143       6.56025099          
0.00777000          3994.29623828       6.61670859          
0.00780000          3994.23978905       6.67358298          
0.00783000          3994.18291079       6.73087711          
0.00786000          3994.12560054       6.78859397          
0.00789000          3994.06785533       6.84673655          
0.00792000          3994.00967215       6.90530785          
0.00795000          3993.95104796       6.96431091          
0.00798000          3993.89197973       7.02374880          
0.00801000          3993.83246439       7.08362458          
0.00804000          3993.77249884       7.14394136          
0.00807000          3993.71207995       7.20470226          
0.00810000          3993.65120460       7.26591042          
0.00813000          3993.58986961       7.32756899          
0.00816000          3993.52807181       7.38968118          
0.00819000          3993.46580797       7.45225018          
0.00822000          3993.40307486       7.51527923          
0.00825000          3993.33986923       7.57877158          
0.00828000          3993.27618780       7.64273051          
0.00831000          3993.21202724       7.70715930          
0.00834000          3993.14738423       7.77206129          
0.00837000          3993.08225542       7.83743982          
0.00840000          3993.01663742       7.90329825          
0.00843000          3992.95052683       7.96963998          
0.00846000          3992.88392021       8.03646842          
0.00849000          3992.81681410       8.10378700          
0.00852000          3992.74920503       8.17159920          
0.00855000          3992.68108948       8.23990849          
0.00858000          3992.61246393       8.30871839          
0.00861000          3992.54332480       8.37803243          
0.00864000          3992.47366852       8.44785416          
0.00867000          3992.40349146       8.51818719          
0.00870000          3992.33279000       8.58903510          
0.00873000          3992.26156046       8.66040154          
0.00876000          3992.18979915       8.73229017          
0.00879000          3992.11750235       8.80470466          
0.00882000          3992.04466632       8.87764874          
0.00885000          3991.97128727       8.95112613          
0.00888000          3991.89736140       9.02514060          
0.00891000          3991.82288489       9.09969594          
0.00894000          3991.74785387       9.17479595          
0.00897000          3991.67226446       9.25044449          
0.00900000          3991.59611274       9.32664541          
0.00903000          3991.51939477       9.40340261          
0.00906000          3991.44210658       9.48072002          
0.00909000          3991.36424415       9.55860157          
0.00912000          3991.28580347       9.63705126          
0.00915000          3991.20678047       9.71607307          
0.00918000          3991.12717107       9.79567104          
0.00921000          3991.04697113       9.87584923          
0.00924000          3990.96617651       9.95661173          
0.00927000          3990.88478304       10.03796265         
0.00930000          3990.80278650       10.11990613         
0.00933000          3990.72018265       10.20244635         
0.00936000          3990.63696721       10.28558751         
0.00939000          3990.55313589       10.36933384         
0.00942000          3990.46868435       10.45368959         
0.00945000          3990.38360823       10.53865906         
0.00948000          3990.29790313       10.62424656         
0.00951000          3990.21156461       10.71045645         
0.00954000          3990.12458822       10.79729310         
0.00957000          3990.03696947       10.88476092         
0.00960000          3989.94870383       10.97286434         
0.00963000          3989.85978674       11.06160785         
0.00966000          3989.77021360       11.15099593         
0.00969000          3989.67997980       11.24103312         
0.00972000          3989.58908067       11.33172398         
0.00975000          3989.49751153       11.42307311         
0.00978000          3989.40526765       11.51508513         
0.00981000          3989.31234426       11.60776469         
0.00984000          3989.21873658       11.70111649         
0.00987000          3989.12443978       11.79514526         
0.00990000          3989.02944899       11.88985573         
0.00993000          3988.93375931       11.98525270         
0.00996000          3988.83736581       12.08134099         
0.00999000          3988.74026353       12.17812545         
